series,author,gender,author_pos,release_year,location_pos,location_name
Band 1118,K. H. Scheer,male,a1,1983.0,l1,M 82
Band 1119,Hans Kneifel,male,a1,1983.0,l1,M 82
Band 112,Kurt Brand,male,a1,1963.0,l1,Terra
Band 112,Kurt Brand,male,a1,1963.0,l2,Pluto
Band 112,Kurt Brand,male,a1,1963.0,l3,Wanderer
Band 112,Kurt Brand,male,a1,1963.0,l4,I-09
Band 112,Kurt Brand,male,a1,1963.0,l5,IRONDUKE
Band 112,Kurt Brand,male,a1,1963.0,l6,BÁA-LO
Band 1120,William Voltz,male,a1,1983.0,l1,M 82
Band 1121,Kurt Mahr,male,a1,1983.0,l1,BASIS-ONE
Band 1122,Kurt Mahr,male,a1,1983.0,l1,Nand
Band 1123,Ernst Vlcek,male,a1,1983.0,l1,MURKCHAVOR
Band 1123,Ernst Vlcek,male,a1,1983.0,l2,BASIS-ONE
Band 1124,Thomas Ziegler,male,a1,1983.0,l1,STOWMEXE
Band 1124,Thomas Ziegler,male,a1,1983.0,l2,BASIS-ONE
Band 1125,H. G. Francis,male,a1,1983.0,l1,Synchrodrom
Band 1126,H. G. Ewers,male,a1,1983.0,l1,Solsystem
Band 1127,Marianne Sydow,female,a1,1983.0,l1,Roboter
Band 1128,Kurt Mahr,male,a1,1983.0,l1,Solsystem
Band 1129,Kurt Mahr,male,a1,1983.0,l1,Solsystem
Band 113,Kurt Mahr,male,a1,1963.0,l1,Utik
Band 113,Kurt Mahr,male,a1,1963.0,l2,Wanderer
Band 1130,Thomas Ziegler,male,a1,1983.0,l1,Vier-Sonnen-Reich
Band 1131,Thomas Ziegler,male,a1,1983.0,l1,Marrschen
Band 1132,H. G. Ewers,male,a1,1983.0,l1,Vier-Sonnen-Reich
Band 1133,H. G. Ewers,male,a1,1983.0,l1,Vier-Sonnen-Reich
Band 1134,Detlev G. Winter,male,a1,1983.0,l1,M 82
Band 1135,Clark Darlton,male,a1,1983.0,l1,M 82
Band 1136,William Voltz,male,a1,1983.0,l1,Terra
Band 1137,Kurt Mahr,male,a1,1983.0,l1,Terra
Band 1138,Kurt Mahr,male,a1,1983.0,l1,Terra
Band 1139,Ernst Vlcek,male,a1,1983.0,l1,Solsystem; Pollaco-Hermi-System
